bResult,gamelength,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1,40,-0.6784217974716267,-2.2520367318377024,-0.6627897760737959,-0.126833662600431,0.03368211381296798,0.14430186907344109,0.03875999599052809,0.020689610082799795,0.13454068789401474,-0.016462166620029573
0,38,1.1259126500398537,-0.1648344718017374,0.3621227515838397,-0.3446967247357763,0.04196062555994137,0.44295784254216786,-0.1784440680181418,-0.6253005083867038,-0.5312058321740756,0.450239853258432
1,40,5.842266435293515,-0.3466068019029824,0.857626896219179,-0.5592007528641961,-0.06029258136079642,-0.3561363164340745,-0.3181936695950301,0.475668536874826,0.14189849701971635,0.1820479578124788
0,41,0.09263041361329623,-0.3126157409064917,-0.21660532676328373,0.12505389642949283,0.05947595355610196,0.5760766104552201,-0.41632061733866116,-0.06621505426439525,0.1488306827513289,-0.6489562354635842
1,35,0.2830998106366791,-0.03881896639506019,-1.9208046822227,-0.3986411206065001,-7.676636729242241,-0.10884123042077942,0.18851143142635232,-0.29787306084532583,-0.2866089169992916,-0.33445337135319236
1,39,3.593320760454037,-2.6571031549093087,-0.3254267845119995,-0.6731885374721464,0.022595343695434433,-0.9335611021739086,1.3408345976489173,-0.47736978787307227,0.037516022061331644,-0.5742174420920408
1,43,1.3519404845099723,-0.5710080005452126,-0.6918113831865693,0.7131630597373247,-0.014254856449758048,-0.3262859565532151,0.2618586467912691,0.33528616229523983,0.2663636167463614,0.00876899857780793
0,41,1.357397951646673,0.2081079912846902,0.49537062752967725,-0.5226110256673864,0.03540688721893883,0.1310216580274936,0.3980069363814715,0.4286686994232328,0.7671572945174753,0.331305313814656
1,32,0.8526244230680671,0.4431546116834464,-0.5533440314501006,1.2539982371898586,-0.04584267649374272,-0.27002840867282896,0.21980471716787428,-0.6385308843063554,-0.48264502226953593,-0.17311496178226984
1,52,3.199450089499082,-1.7834228223220419,0.3559703727072072,-0.0027918776288720945,-0.14530016502546178,-0.5705280087212765,-0.6170308999225215,0.6481246751508752,-0.13237831055988147,-0.28725984109739616
